dataset	category_index	label	label_key	source_version	source_url	source_class	is_mwe_candidate	mwe_candidate_status	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	synset_lemmas	canonical_surface	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
objects365	0	Person	person	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	person	oewn-00007846-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	1	Sneakers	sneakers	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	morphy	sneaker	true	2	oewn-03477658-n	noun.artifact	oewn-03477658-n|oewn-10110781-n	oewn-03477658-n:noun.artifact:gym shoe;sneaker;tennis shoe|oewn-10110781-n:noun.person:fink;snitch;snitcher;stoolpigeon;stool pigeon;stoolie;sneak;sneaker;canary	gym shoe|sneaker|tennis shoe	sneaker	selected_single_label_or_lookup_matched_wordnet_lemma	sneaker	sneaker:2	oewn-04206070-n	oewn-04206070-n:noun.artifact	oewn-04206070-n:shoe	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03477658-n:sneaker%1:06:00:::gym_shoe.n.01:2|oewn-10110781-n:sneaker%1:18:00:::fink.n.01:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	2	Chair	chair	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	chair	oewn-03005231-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	3	Other Shoes	other shoes	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	true	unresolved	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	4	Hat	hat	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	hat	true	2	oewn-03502782-n	noun.artifact	oewn-03502782-n|oewn-00722393-n	oewn-03502782-n:noun.artifact:hat;chapeau;lid|oewn-00722393-n:noun.act:hat	hat|chapeau|lid	hat	selected_single_label_or_lookup_matched_wordnet_lemma	hat	hat:30	oewn-03507653-n	oewn-03507653-n:noun.artifact	oewn-03507653-n:headdress;headgear	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03502782-n:hat%1:06:00:::hat.n.01:30	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	5	Car	car	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	car	oewn-02961779-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	6	Lamp	lamp	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	lamp	true	2	oewn-03641539-n	noun.artifact	oewn-03641539-n|oewn-03641940-n	oewn-03641539-n:noun.artifact:lamp|oewn-03641940-n:noun.artifact:lamp	lamp	lamp	selected_single_label_or_lookup_matched_wordnet_lemma	lamp	lamp:12	oewn-04270870-n	oewn-04270870-n:noun.artifact	oewn-04270870-n:source of illumination	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03641539-n:lamp%1:06:00:::lamp.n.01:12|oewn-03641940-n:lamp%1:06:01:::lamp.n.02:2	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	7	Glasses	glasses	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	glasses	true	1	oewn-04279164-n	noun.artifact	oewn-04279164-n	oewn-04279164-n:noun.artifact:spectacles;specs;eyeglasses;glasses	spectacles|specs|eyeglasses|glasses	glasses	selected_single_label_or_lookup_matched_wordnet_lemma	glasses	glasses:4	oewn-03857800-n	oewn-03857800-n:noun.artifact	oewn-03857800-n:optical instrument	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
objects365	8	Bottle	bottle	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	bottle	oewn-02879899-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	9	Desk	desk	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	desk	true	1	oewn-03184367-n	noun.artifact	oewn-03184367-n	oewn-03184367-n:noun.artifact:desk	desk	desk	selected_single_label_or_lookup_matched_wordnet_lemma	desk	desk:24	oewn-04386330-n	oewn-04386330-n:noun.artifact	oewn-04386330-n:table	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
