dataset	category_id	mid	label	label_key	source_version	source_url	hierarchy_url	source_class	openimages_parent_mids	openimages_parent_labels	openimages_child_mids	openimages_child_labels
openimages	/m/011k07	/m/011k07	Tortoise	tortoise	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09dzg	Turtle		
openimages	/m/011q46kg	/m/011q46kg	Container	container	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/07k1x	Tool	/m/02jnhm|/m/02zn6n|/m/04dr76w|/m/07kng9|/m/08hvt4|/m/0bjyj5|/m/0d20w4|/m/0fm3zh	Tin can|Barrel|Bottle|Picnic basket|Jug|Waste container|Beaker|Flowerpot
openimages	/m/012074	/m/012074	Magpie	magpie	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/015p6	Bird		
openimages	/m/0120dh	/m/0120dh	Sea turtle	sea turtle	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09dzg	Turtle		
openimages	/m/01226z	/m/01226z	Football	football	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/018xm	Ball		
openimages	/m/012n7d	/m/012n7d	Ambulance	ambulance	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01prls	Land vehicle		
openimages	/m/012w5l	/m/012w5l	Ladder	ladder	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/07k1x	Tool		
openimages	/m/012xff	/m/012xff	Toothbrush	toothbrush	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02w3_ws|/m/07k1x	Personal care|Tool		
openimages	/m/012ysf	/m/012ysf	Syringe	syringe	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01xgg_	Medical equipment		
openimages	/m/0130jx	/m/0130jx	Sink	sink	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02pkr5	Plumbing fixture		
openimages	/m/0138tl	/m/0138tl	Toy	toy	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f		/m/0167gd|/m/01j51|/m/029b3|/m/02wmf|/m/02zt3|/m/0kmg4	Doll|Balloon|Dice|Flying disc|Kite|Teddy bear
openimages	/m/013y1f	/m/013y1f	Organ	organ	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/04szw	Musical instrument		
openimages	/m/01432t	/m/01432t	Cassette deck	cassette deck	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/014j1m	/m/014j1m	Apple	apple	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02xwb	Fruit		
openimages	/m/014sv8	/m/014sv8	Human eye	human eye	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/014trl	/m/014trl	Cosmetics	cosmetics	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f		/m/02xb7qb|/m/05w9t9|/m/06c7f7|/m/0p833	Face powder|Hair spray|Lipstick|Perfume
openimages	/m/014y4n	/m/014y4n	Paddle	paddle	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/05y5lj	Sports equipment		
openimages	/m/0152hh	/m/0152hh	Snowman	snowman	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/06msq	Sculpture		
openimages	/m/01599	/m/01599	Beer	beer	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0271t	Drink		
openimages	/m/01_5g	/m/01_5g	Chopsticks	chopsticks	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/03hlz0c|/m/04brg2	Kitchen utensil|Tableware		
openimages	/m/015h_t	/m/015h_t	Human beard	human beard	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/015p6	/m/015p6	Bird	bird	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0jbk	Animal	/m/012074|/m/01dy8n|/m/01f8m5|/m/05n4y|/m/05z6w|/m/06j2d|/m/09b5t|/m/09csl|/m/09d5_|/m/09ddx|/m/0ccs93|/m/0dbvp|/m/0dftk|/m/0f6wt|/m/0gv1x|/m/0h23m|/m/0jly1	Magpie|Woodpecker|Blue jay|Ostrich|Penguin|Raven|Chicken|Eagle|Owl|Duck|Canary|Goose|Swan|Falcon|Parrot|Sparrow|Turkey
openimages	/m/015qbp	/m/015qbp	Parking meter	parking meter	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/015qff	/m/015qff	Traffic light	traffic light	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/015wgc	/m/015wgc	Croissant	croissant	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0hnyx	Pastry		
openimages	/m/015x4r	/m/015x4r	Cucumber	cucumber	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0f4s2w	Vegetable		
openimages	/m/015x5n	/m/015x5n	Radish	radish	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0f4s2w	Vegetable		
openimages	/m/0162_1	/m/0162_1	Towel	towel	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0h8nr_l	Bathroom accessory		
openimages	/m/0167gd	/m/0167gd	Doll	doll	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0138tl	Toy		
openimages	/m/016m2d	/m/016m2d	Skull	skull	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/0174k2	/m/0174k2	Washing machine	washing machine	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/019dx1	Home appliance		
openimages	/m/0174n1	/m/0174n1	Glove	glove	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0463sg	Fashion accessory	/m/03grzl	Baseball glove
openimages	/m/0175cv	/m/0175cv	Tick	tick	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/03xxp	Invertebrate		
openimages	/m/0176mf	/m/0176mf	Belt	belt	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0463sg	Fashion accessory		
openimages	/m/017ftj	/m/017ftj	Sunglasses	sunglasses	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02w3_ws|/m/0463sg	Personal care|Fashion accessory		
openimages	/m/018j2	/m/018j2	Banjo	banjo	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/04szw	Musical instrument		
openimages	/m/018p4k	/m/018p4k	Cart	cart	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01prls	Land vehicle		
openimages	/m/018xm	/m/018xm	Ball	ball	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/05y5lj	Sports equipment	/m/01226z|/m/02ctlc|/m/02rgn06|/m/05ctyq|/m/0wdt60w	Football|Cricket ball|Volleyball|Tennis ball|Rugby ball
openimages	/m/01940j	/m/01940j	Backpack	backpack	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0hf58v5	Luggage and bags		
openimages	/m/0199g	/m/0199g	Bicycle	bicycle	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01prls|/m/05y5lj	Land vehicle|Sports equipment		
openimages	/m/019dx1	/m/019dx1	Home appliance	home appliance	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f		/m/0174k2|/m/01k6s3|/m/029bxz|/m/02pjr4|/m/02wv84t|/m/02x984l|/m/03ldnb|/m/03qhv5|/m/03s_tn|/m/03wvsk|/m/040b_t|/m/04169hn|/m/04lvq_|/m/063rgb|/m/07xyvk|/m/0c3m8g|/m/0fx9l|/m/0ky7b|/m/0llzx	Washing machine|Toaster|Oven|Blender|Gas stove|Mechanical fan|Ceiling fan|Heater|Kettle|Hair dryer|Refrigerator|Wood-burning stove|Humidifier|Mixer|Coffeemaker|Hand dryer|Microwave oven|Dishwasher|Sewing machine
openimages	/m/019h78	/m/019h78	Centipede	centipede	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/03xxp	Invertebrate		
openimages	/m/019jd	/m/019jd	Boat	boat	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01rzcn	Watercraft	/m/01btn|/m/02068x|/m/0ph39	Barge|Gondola|Canoe
openimages	/m/019w40	/m/019w40	Surfboard	surfboard	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/05y5lj	Sports equipment		
openimages	/m/01b638	/m/01b638	Boot	boot	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09j5n	Footwear		
openimages	/m/01b7fy	/m/01b7fy	Headphones	headphones	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/0bl9f			
openimages	/m/01b9xk	/m/01b9xk	Hot dog	hot dog	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01_bhs	Fast food		
openimages	/m/01bfm9	/m/01bfm9	Shorts	shorts	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09j2d	Clothing		
openimages	/m/01_bhs	/m/01_bhs	Fast food	fast food	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02wbm	Food	/m/01b9xk|/m/02y6n	Hot dog|French fries
