selected_oewn_synset	selected_oewn_lexfile	canonical_surface	canonical_label_key	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	google_ngram_candidate_surfaces	google_ngram_candidate_mean_frequencies	source_exact_candidate_lemmas	source_labels	source_label_keys	source_datasets	selected_queries	selected_lookup_cases	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tags	row_count	decision_basis
oewn-00007846-n	noun.Tops	person	person	selected_by_google_ngram_frequency_unique_max	person|individual|someone|somebody	person:-1|individual:-1|someone:-1|somebody:-1	person|individual|someone|somebody	person:0.000272628036537|individual:0.000203715776079|someone:0.000137123281479|somebody:1.99848722074e-05	person|individual|someone|somebody	individual|individuals|person|persons|somebody|someone	individual|individuals|person|persons|somebody|someone	visual_genome|COCO	individual|person|somebody|someone	exact|morphy	person|individual|someone|somebody|mortal|soul	oewn-00004475-n	oewn-00004475-n:noun.Tops	oewn-00004475-n:organism;being	selected_all_immediate_oewn_hypernyms	6	selected_by_google_ngram_frequency_unique_max
oewn-00015568-n	noun.Tops	animal	animal	selected_by_google_ngram_frequency_unique_max	animal|beast|creature|fauna	animal:-1|beast:-1|creature:-1|fauna:-1	animal|beast|creature|fauna	animal:6.31806091807e-05|beast:1.15350708052e-05|creature:1.66687299933e-05|fauna:3.6014641331e-06	animal|beast|creature|fauna	Animal|animals|beast|beasts|creature|creatures|fauna	animal|animals|beast|beasts|creature|creatures|fauna	openimages|visual_genome	animal|beast|creature|fauna	exact|morphy	animal|animate being|beast|brute|creature|fauna	oewn-00004475-n	oewn-00004475-n:noun.Tops	oewn-00004475-n:organism;being	selected_all_immediate_oewn_hypernyms	7	selected_by_google_ngram_frequency_unique_max
oewn-00031563-n	noun.Tops	group	group	selected_by_google_ngram_frequency_unique_max	group|grouping	group:-1|grouping:-1	group|grouping	group:0.000327376919039|grouping:5.51572054269e-06	group|grouping	group|grouping|groups	group|grouping|groups	visual_genome	group|grouping	exact|morphy	group|grouping	oewn-00002137-n	oewn-00002137-n:noun.Tops	oewn-00002137-n:abstraction;abstract entity	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00043495-n	noun.act	going	going	selected_by_google_ngram_frequency_unique_max	departure|going|leaving	departure:-1|going:-1|leaving:-1	departure|going|leaving	departure:1.63081014195e-05|going:0.000336499065912|leaving:6.39723928595e-05	departure|going	departure|departures|going|leavings	departure|departures|going|leavings	visual_genome	departure|going|leaving	exact|morphy	departure|going|going away|leaving	oewn-00030657-n	oewn-00030657-n:noun.Tops	oewn-00030657-n:act;deed;human action;human activity	selected_all_immediate_oewn_hypernyms	4	selected_by_google_ngram_frequency_unique_max
oewn-00059157-n	noun.act	boarding	boarding	selected_by_google_ngram_frequency_unique_max	boarding|embarkment	boarding:-1|embarkment:-1	boarding|embarkment	boarding:5.23629865194e-06|embarkment:7.29947116328e-09	boarding|embarkment	boarding|embarkment|embarkments	boarding|embarkment|embarkments	visual_genome	boarding|embarkment	exact|morphy	boarding|embarkation|embarkment	oewn-00043495-n	oewn-00043495-n:noun.act	oewn-00043495-n:departure;going;going away;leaving	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00115251-n	noun.act	pull	pull	selected_by_google_ngram_frequency_unique_max	pull|pulling	pull:-1|pulling:-1	pull|pulling	pull:3.46943209506e-05|pulling:2.0596075653e-05	pull|pulling	pull|pulling|pulls	pull|pulling|pulls	visual_genome	pull|pulling	exact|morphy	pull|pulling	oewn-00045991-n	oewn-00045991-n:noun.act	oewn-00045991-n:propulsion;actuation	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00130137-n	noun.act	chop	chop	selected_by_google_ngram_frequency_unique_max	chop|chopper	chop:-1|chopper:-1	chop|chopper	chop:3.07847008028e-06|chopper:1.46453020691e-06	chop|chopper	chop|chopper|chops	chop|chopper|chops	visual_genome	chop|chopper	exact|morphy	chop|chopper	oewn-00129909-n	oewn-00129909-n:noun.act	oewn-00129909-n:grounder;ground ball;groundball;hopper	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00137149-n	noun.act	kick	kick	selected_by_google_ngram_frequency_unique_max	kick|kicking	kick:-1|kicking:-1	kick|kicking	kick:1.02359557925e-05|kicking:5.07474578172e-06	kick|kicking	kick|kicking|kicks	kick|kicking|kicks	visual_genome	kick|kicking	exact|morphy	kick|boot|kicking	oewn-01175528-n	oewn-01175528-n:noun.act	oewn-01175528-n:blow	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00175261-n	noun.act	step	step	selected_by_google_ngram_frequency_unique_max	measure|step	measure:-1|step:-1	measure|step	measure:7.70910210009e-05|step:0.00012184445586	measure|step	measure|step	measure|step	visual_genome	measure|step	exact	measure|step	oewn-00169058-n	oewn-00169058-n:noun.act	oewn-00169058-n:maneuver;manoeuvre;tactical maneuver;tactical manoeuvre	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00201907-n	noun.act	transition	transition	selected_by_google_ngram_frequency_unique_max	passage|transition	passage:-1|transition:-1	passage|transition	passage:4.26584767656e-05|transition:4.73060164041e-05	passage|transition	passage|transition	passage|transition	visual_genome	passage|transition	exact	passage|transition	oewn-00199979-n	oewn-00199979-n:noun.act	oewn-00199979-n:change of state	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00208471-n	noun.act	barring	barring	selected_by_google_ngram_frequency_unique_max	barring|blackball	barring:-1|blackball:-1	barring|blackball	barring:1.70553965088e-06|blackball:3.82201406231e-08		barrings|black ball	barrings|black ball	visual_genome	barring|blackball	morphy|joined_variant	barring|blackball	oewn-00207776-n	oewn-00207776-n:noun.act	oewn-00207776-n:ejection;exclusion;expulsion;riddance	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00255636-n	noun.act	shave	shave	selected_by_google_ngram_frequency_unique_max	shave|shaving	shave:-1|shaving:-1	shave|shaving	shave:2.03219277756e-06|shaving:1.77156071991e-06	shave|shaving	shave|shaving|shavings	shave|shaving|shavings	visual_genome	shave|shaving	exact|morphy	shave|shaving	oewn-00255464-n	oewn-00255464-n:noun.act	oewn-00255464-n:depilation;epilation	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00267650-n	noun.act	repair	repair	selected_by_google_ngram_frequency_unique_max	repair|fixing	repair:-1|fixing:-1	repair|fixing	repair:2.5264723896e-05|fixing:6.6665451479e-06	repair|fixing	fixing|repair|repairs	fixing|repair|repairs	visual_genome	fixing|repair	exact|morphy	repair|fix|fixing|fixture|mend|mending|reparation	oewn-00249844-n	oewn-00249844-n:noun.act	oewn-00249844-n:improvement	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00282135-n	noun.act	back door	back door	selected_by_google_ngram_frequency_unique_max	back door|backdoor	back door:0|backdoor:-1	back door|backdoor	back door:3.97514072333e-06|backdoor:3.86397396553e-07	back door|backdoor	back door|back doors|back-door|backdoor	back door|back doors|back-door|backdoor	visual_genome	back door|backdoor	exact|morphy|separator_variant	back door|backdoor	oewn-00281976-n	oewn-00281976-n:noun.act	oewn-00281976-n:access	selected_all_immediate_oewn_hypernyms	4	selected_by_google_ngram_frequency_unique_max
oewn-00284412-n	noun.act	walk	walk	selected_by_google_ngram_frequency_unique_max	walk|walking	walk:-1|walking:-1	walk|walking	walk:7.0068783945e-05|walking:4.78216880458e-05	walk|walking	walk|walking|walks	walk|walking|walks	visual_genome	walk|walking	exact|morphy	walk|walking	oewn-00283971-n	oewn-00283971-n:noun.act	oewn-00283971-n:locomotion;travel	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00296527-n	noun.act	travel	travel	selected_by_google_ngram_frequency_unique_max	travel|traveling|travelling	travel:-1|traveling:-1|travelling:-1	travel|traveling|travelling	travel:5.83554958428e-05|traveling:1.36506873419e-05|travelling:8.47079630004e-06	travel|traveling|travelling	travel|traveling|travelling	travel|traveling|travelling	visual_genome	travel|traveling|travelling	exact	travel|traveling|travelling	oewn-00280679-n	oewn-00280679-n:noun.act	oewn-00280679-n:motion;movement;move	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00305175-n	noun.act	paragliding	paragliding	selected_by_google_ngram_frequency_unique_max	parasailing|paragliding	parasailing:-1|paragliding:-1	parasailing|paragliding	parasailing:5.85894302463e-08|paragliding:6.5220986073e-08	parasailing|paragliding	paragliding|parasailing	paragliding|parasailing	visual_genome	paragliding|parasailing	exact	parasailing|paragliding	oewn-00304321-n	oewn-00304321-n:noun.act	oewn-00304321-n:glide;gliding;sailplaning;soaring;sailing	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00345247-n	noun.act	sitting	sitting	selected_by_google_ngram_frequency_unique_max	sitting|posing	sitting:-1|posing:-1	sitting|posing	sitting:6.00555565851e-05|posing:2.78382071446e-06	sitting|posing	posing|sitting	posing|sitting	visual_genome	posing|sitting	exact	sitting|posing	oewn-00332776-n	oewn-00332776-n:noun.act	oewn-00332776-n:motion;movement;move;motility	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00396837-n	noun.act	drain	drain	selected_by_google_ngram_frequency_unique_max	drain|drainage	drain:-1|drainage:-1	drain|drainage	drain:1.05690009547e-05|drainage:1.04306011613e-05	drain|drainage	drain|drainage|drains	drain|drainage|drains	visual_genome	drain|drainage	exact|morphy	drain|drainage	oewn-00396605-n	oewn-00396605-n:noun.act	oewn-00396605-n:emptying;voidance;evacuation	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00433629-n	noun.act	hobby	hobby	selected_by_google_ngram_frequency_unique_max	hobby|sideline	hobby:-1|sideline:-1	hobby|sideline	hobby:2.71213641113e-06|sideline:6.38690918975e-07	hobby|sideline	hobby|sideline|sidelines	hobby|sideline|sidelines	visual_genome	hobby|sideline	exact|morphy	avocation|by-line|hobby|pursuit|sideline|spare-time activity	oewn-00432492-n	oewn-00432492-n:noun.act	oewn-00432492-n:pastime;interest;pursuit	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00443055-n	noun.act	swimming	swimming	selected_by_google_ngram_frequency_unique_max	swimming|swim	swimming:-1|swim:-1	swimming|swim	swimming:1.26899289177e-05|swim:7.93415745576e-06	swimming|swim	swim|swimming	swim|swimming	visual_genome	swim|swimming	exact	swimming|swim	oewn-00442764-n	oewn-00442764-n:noun.act	oewn-00442764-n:water sport;aquatics	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00472512-n	noun.act	ball game	ball game	selected_by_google_ngram_frequency_unique_max	ball game|ballgame	ball game:-1|ballgame:-1	ball game|ballgame	ball game:4.14241761044e-07|ballgame:1.60160385715e-07	ball game|ballgame	ball game|ballgame	ball game|ballgame	visual_genome	ball game|ballgame	exact	ball game|ballgame	oewn-00468787-n	oewn-00468787-n:noun.act	oewn-00468787-n:field game	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00482004-n	noun.act	basketball	basketball	selected_by_google_ngram_frequency_unique_max	basketball|basketball game|hoops	basketball:-1|basketball game:-1|hoops:-1	basketball|basketball game|hoops	basketball:7.83809840303e-06|basketball game:2.64340981532e-07|hoops:9.47560647831e-07	basketball game|hoops	basketball game|basketballs|hoops	basketball game|basketballs|hoops	visual_genome	basketball game|basketball|hoops	exact|morphy	basketball|basketball game|hoops	oewn-00480087-n	oewn-00480087-n:noun.act	oewn-00480087-n:court game	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00568455-n	noun.act	forehand	forehand	selected_by_google_ngram_frequency_unique_max	forehand|forehand shot	forehand:-1|forehand shot:-1	forehand|forehand shot	forehand:2.56184813419e-07|forehand shot:1.95483100662e-09	forehand|forehand shot	forehand|forehand shot	forehand|forehand shot	visual_genome	forehand|forehand shot	exact	forehand|forehand stroke|forehand shot	oewn-00567335-n	oewn-00567335-n:noun.act	oewn-00567335-n:return	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00625978-n	noun.act	exercise	exercise	selected_by_google_ngram_frequency_unique_max	exercise|exercising	exercise:-1|exercising:-1	exercise|exercising	exercise:7.65771621188e-05|exercising:5.99051937834e-06	exercise|exercising	exercise|exercising	exercise|exercising	visual_genome	exercise|exercising	exact	exercise|exercising|physical exercise|physical exertion|workout	oewn-00622867-n	oewn-00622867-n:noun.act	oewn-00622867-n:effort;elbow grease;exertion;travail;sweat	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00631311-n	noun.act	squat	squat	selected_by_google_ngram_frequency_unique_max	squat|squatting	squat:-1|squatting:-1	squat|squatting	squat:1.94958743089e-06|squatting:1.20230907408e-06	squat|squatting	squat|squatting	squat|squatting	visual_genome	squat|squatting	exact	knee bend|squat|squatting	oewn-00631151-n	oewn-00631151-n:noun.act	oewn-00631151-n:leg exercise	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
