dataset	category_id	label	supercategory	source_version	wordnet_source	wordnet_version	wordnet_query	is_multiword	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	target_oewn_lexfiles	matched_oewn_lexfiles	synset_lemmas	sense_counts_available	synset_selection_tag	decision_basis
COCO	1	person	person	instances_2017	oewn	2025	person	false	true	3	oewn-00007846-n	noun.Tops	oewn-00007846-n|oewn-05224944-n|oewn-06337790-n	oewn-00007846-n:noun.Tops:person;individual;someone;somebody;mortal;soul|oewn-05224944-n:noun.body:person|oewn-06337790-n:noun.communication:person	noun.Tops|noun.person	oewn-00007846-n:noun.Tops:person;individual;someone;somebody;mortal;soul	person|individual|someone|somebody|mortal|soul	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	2	bicycle	vehicle	instances_2017	oewn	2025	bicycle	false	true	1	oewn-02837983-n	noun.artifact	oewn-02837983-n	oewn-02837983-n:noun.artifact:bicycle;bike;wheel;cycle	noun.artifact	oewn-02837983-n:noun.artifact:bicycle;bike;wheel;cycle	bicycle|bike|wheel|cycle	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	3	car	vehicle	instances_2017	oewn	2025	car	false	true	5			oewn-02961779-n|oewn-02963378-n|oewn-02963937-n|oewn-02963788-n|oewn-02937835-n	oewn-02961779-n:noun.artifact:car;auto;automobile;machine;motorcar|oewn-02963378-n:noun.artifact:car;railcar;railway car;railroad car|oewn-02963937-n:noun.artifact:car;gondola|oewn-02963788-n:noun.artifact:car;elevator car|oewn-02937835-n:noun.artifact:cable car;car	noun.artifact	oewn-02961779-n:noun.artifact:car;auto;automobile;machine;motorcar|oewn-02963378-n:noun.artifact:car;railcar;railway car;railroad car|oewn-02963937-n:noun.artifact:car;gondola|oewn-02963788-n:noun.artifact:car;elevator car|oewn-02937835-n:noun.artifact:cable car;car		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	4	motorcycle	vehicle	instances_2017	oewn	2025	motorcycle	false	true	1	oewn-03796045-n	noun.artifact	oewn-03796045-n	oewn-03796045-n:noun.artifact:motorcycle;bike	noun.artifact	oewn-03796045-n:noun.artifact:motorcycle;bike	motorcycle|bike	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	5	airplane	vehicle	instances_2017	oewn	2025	airplane	false	true	1	oewn-02694015-n	noun.artifact	oewn-02694015-n	oewn-02694015-n:noun.artifact:airplane;aeroplane;plane	noun.artifact	oewn-02694015-n:noun.artifact:airplane;aeroplane;plane	airplane|aeroplane|plane	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	6	bus	vehicle	instances_2017	oewn	2025	bus	false	true	4			oewn-02927500-n|oewn-05738536-n|oewn-02928097-n|oewn-02927938-n	oewn-02927500-n:noun.artifact:bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger vehicle|oewn-05738536-n:noun.cognition:bus topology;bus|oewn-02928097-n:noun.artifact:busbar;bus|oewn-02927938-n:noun.artifact:bus;jalopy;heap	noun.artifact	oewn-02927500-n:noun.artifact:bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger vehicle|oewn-02928097-n:noun.artifact:busbar;bus|oewn-02927938-n:noun.artifact:bus;jalopy;heap		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	7	train	vehicle	instances_2017	oewn	2025	train	false	true	6			oewn-04475240-n|oewn-08476659-n|oewn-08444586-n|oewn-07309535-n|oewn-04475711-n|oewn-03436655-n	oewn-04475240-n:noun.artifact:train;railroad train|oewn-08476659-n:noun.group:string;train|oewn-08444586-n:noun.group:caravan;train;wagon train|oewn-07309535-n:noun.event:train|oewn-04475711-n:noun.artifact:train|oewn-03436655-n:noun.artifact:gearing;gear;geartrain;power train;train	noun.artifact	oewn-04475240-n:noun.artifact:train;railroad train|oewn-04475711-n:noun.artifact:train|oewn-03436655-n:noun.artifact:gearing;gear;geartrain;power train;train		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	8	truck	vehicle	instances_2017	oewn	2025	truck	false	true	2			oewn-04497386-n|oewn-03495220-n	oewn-04497386-n:noun.artifact:truck;motortruck|oewn-03495220-n:noun.artifact:hand truck;truck	noun.artifact	oewn-04497386-n:noun.artifact:truck;motortruck|oewn-03495220-n:noun.artifact:hand truck;truck		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	9	boat	vehicle	instances_2017	oewn	2025	boat	false	true	2			oewn-02861626-n|oewn-03460968-n	oewn-02861626-n:noun.artifact:boat|oewn-03460968-n:noun.artifact:gravy boat;gravy holder;sauceboat;boat	noun.artifact	oewn-02861626-n:noun.artifact:boat|oewn-03460968-n:noun.artifact:gravy boat;gravy holder;sauceboat;boat		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	10	traffic light	outdoor	instances_2017	oewn	2025	traffic light	true	true	1	oewn-06887235-n	noun.communication	oewn-06887235-n	oewn-06887235-n:noun.communication:traffic light;traffic signal;stoplight	noun.artifact		traffic light|traffic signal|stoplight	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	11	fire hydrant	outdoor	instances_2017	oewn	2025	fire hydrant	true	true	1	oewn-03351744-n	noun.artifact	oewn-03351744-n	oewn-03351744-n:noun.artifact:fireplug;fire hydrant;plug	noun.artifact	oewn-03351744-n:noun.artifact:fireplug;fire hydrant;plug	fireplug|fire hydrant|plug	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	13	stop sign	outdoor	instances_2017	oewn	2025	stop sign	true	true	1	oewn-92470663-n	noun.communication	oewn-92470663-n	oewn-92470663-n:noun.communication:stop sign	noun.artifact		stop sign	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	14	parking meter	outdoor	instances_2017	oewn	2025	parking meter	true	true	1	oewn-03897029-n	noun.artifact	oewn-03897029-n	oewn-03897029-n:noun.artifact:parking meter	noun.artifact	oewn-03897029-n:noun.artifact:parking meter	parking meter	false	single_oewn_noun_synset	single_oewn_noun_synset
