dataset	category_id	label	supercategory	source_version	is_mwe_candidate	mwe_candidate_status	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	target_oewn_lexfiles	matched_oewn_lexfiles	synset_lemmas	canonical_surface	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
COCO	1	person	person	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	person	true	3	oewn-00007846-n	noun.Tops	oewn-00007846-n|oewn-05224944-n|oewn-06337790-n	oewn-00007846-n:noun.Tops:person;individual;someone;somebody;mortal;soul|oewn-05224944-n:noun.body:person|oewn-06337790-n:noun.communication:person	noun.person		person|individual|someone|somebody|mortal|soul	person	selected_single_label_or_lookup_matched_wordnet_lemma	person	person:6833	oewn-00004475-n	oewn-00004475-n:noun.Tops	oewn-00004475-n:organism;being	selected_all_immediate_oewn_hypernyms	conditional	manual_override	select:oewn-00007846-n	COCO person category means human being; OEWN human-being sense is noun.Tops.	false	true			manual_select	manual_select
COCO	2	bicycle	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	bicycle	true	1	oewn-02837983-n	noun.artifact	oewn-02837983-n	oewn-02837983-n:noun.artifact:bicycle;bike;wheel;cycle			bicycle|bike|wheel|cycle	bicycle	selected_single_label_or_lookup_matched_wordnet_lemma	bicycle	bicycle:5	oewn-04583497-n	oewn-04583497-n:noun.artifact	oewn-04583497-n:wheeled vehicle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	3	car	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	car	true	5	oewn-02961779-n	noun.artifact	oewn-02961779-n|oewn-02963378-n|oewn-02963937-n|oewn-02963788-n|oewn-02937835-n	oewn-02961779-n:noun.artifact:car;auto;automobile;machine;motorcar|oewn-02963378-n:noun.artifact:car;railcar;railway car;railroad car|oewn-02963937-n:noun.artifact:car;gondola|oewn-02963788-n:noun.artifact:car;elevator car|oewn-02937835-n:noun.artifact:cable car;car			car|auto|automobile|machine|motorcar	car	selected_single_label_or_lookup_matched_wordnet_lemma	car	car:71	oewn-03796768-n	oewn-03796768-n:noun.artifact	oewn-03796768-n:motor vehicle;automotive vehicle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02961779-n:car%1:06:00:::car.n.01:71|oewn-02963378-n:car%1:06:01:::car.n.02:2|oewn-02963937-n:car%1:06:03:::car.n.03:0|oewn-02963788-n:car%1:06:02:::car.n.04:0|oewn-02937835-n:car%1:06:04:::cable_car.n.01:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	4	motorcycle	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	motorcycle	true	1	oewn-03796045-n	noun.artifact	oewn-03796045-n	oewn-03796045-n:noun.artifact:motorcycle;bike			motorcycle|bike	motorcycle	selected_single_label_or_lookup_matched_wordnet_lemma	motorcycle	motorcycle:0	oewn-03796768-n	oewn-03796768-n:noun.artifact	oewn-03796768-n:motor vehicle;automotive vehicle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	5	airplane	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	airplane	true	1	oewn-02694015-n	noun.artifact	oewn-02694015-n	oewn-02694015-n:noun.artifact:airplane;aeroplane;plane			airplane|aeroplane|plane	airplane	selected_single_label_or_lookup_matched_wordnet_lemma	airplane	airplane:5	oewn-03515727-n	oewn-03515727-n:noun.artifact	oewn-03515727-n:heavier-than-air craft	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	6	bus	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	bus	true	4	oewn-02927500-n	noun.artifact	oewn-02927500-n|oewn-05738536-n|oewn-02928097-n|oewn-02927938-n	oewn-02927500-n:noun.artifact:bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger vehicle|oewn-05738536-n:noun.cognition:bus topology;bus|oewn-02928097-n:noun.artifact:busbar;bus|oewn-02927938-n:noun.artifact:bus;jalopy;heap			bus|autobus|coach|charabanc|double-decker|jitney|motorbus|motorcoach|omnibus|passenger vehicle	bus	selected_single_label_or_lookup_matched_wordnet_lemma	bus	bus:2	oewn-04025495-n	oewn-04025495-n:noun.artifact	oewn-04025495-n:public transport	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02927500-n:bus%1:06:00:::bus.n.01:2;double--decker%1:06:00::=wn30_missing|oewn-05738536-n:bus%1:09:00:::bus_topology.n.01:0|oewn-02928097-n:bus%1:06:02:::busbar.n.01:0|oewn-02927938-n:bus%1:06:01:::bus.n.04:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	7	train	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	train	true	6	oewn-04475240-n	noun.artifact	oewn-04475240-n|oewn-08476659-n|oewn-08444586-n|oewn-07309535-n|oewn-04475711-n|oewn-03436655-n	oewn-04475240-n:noun.artifact:train;railroad train|oewn-08476659-n:noun.group:string;train|oewn-08444586-n:noun.group:caravan;train;wagon train|oewn-07309535-n:noun.event:train|oewn-04475711-n:noun.artifact:train|oewn-03436655-n:noun.artifact:gearing;gear;geartrain;power train;train			train|railroad train	train	selected_single_label_or_lookup_matched_wordnet_lemma	train	train:24	oewn-04025495-n	oewn-04025495-n:noun.artifact	oewn-04025495-n:public transport	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-04475240-n:train%1:06:00:::train.n.01:24|oewn-08476659-n:train%1:14:02:::string.n.04:1|oewn-08444586-n:train%1:14:00:::caravan.n.01:0|oewn-07309535-n:train%1:11:00:::train.n.04:0|oewn-04475711-n:train%1:06:02:::train.n.05:0|oewn-03436655-n:train%1:06:01:::gearing.n.01:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	8	truck	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	truck	true	2	oewn-04497386-n	noun.artifact	oewn-04497386-n|oewn-03495220-n	oewn-04497386-n:noun.artifact:truck;motortruck|oewn-03495220-n:noun.artifact:hand truck;truck			truck|motortruck	truck	selected_single_label_or_lookup_matched_wordnet_lemma	truck	truck:20	oewn-03796768-n	oewn-03796768-n:noun.artifact	oewn-03796768-n:motor vehicle;automotive vehicle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-04497386-n:truck%1:06:00:::truck.n.01:20|oewn-03495220-n:truck%1:06:01:::hand_truck.n.01:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	9	boat	vehicle	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	boat	true	2	oewn-02861626-n	noun.artifact	oewn-02861626-n|oewn-03460968-n	oewn-02861626-n:noun.artifact:boat|oewn-03460968-n:noun.artifact:gravy boat;gravy holder;sauceboat;boat			boat	boat	selected_single_label_or_lookup_matched_wordnet_lemma	boat	boat:14	oewn-04537861-n	oewn-04537861-n:noun.artifact	oewn-04537861-n:vessel;watercraft	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02861626-n:boat%1:06:00:::boat.n.01:14|oewn-03460968-n:boat%1:06:01:::gravy_boat.n.01:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	10	traffic light	outdoor	instances_2017	true	selected	oewn	2025-plus	oewn:2025+	exact	traffic light	true	1	oewn-06887235-n	noun.communication	oewn-06887235-n	oewn-06887235-n:noun.communication:traffic light;traffic signal;stoplight			traffic light|traffic signal|stoplight	traffic light	selected_single_label_or_lookup_matched_wordnet_lemma	traffic light	traffic light:1	oewn-06887069-n	oewn-06887069-n:noun.communication	oewn-06887069-n:light	selected_all_immediate_oewn_hypernyms	conditional	manual_override	select:oewn-06887235-n	COCO visual object category; OEWN lexfile is communication because it is a signal.	false	true			manual_select	manual_select
