dataset	category_id	label	label_key	source_version	source_url	source_class	lvis_name	lvis_synset	lvis_synonyms	lvis_def	lvis_frequency	lvis_image_count	lvis_instance_count
lvis	1	aerosol can	aerosol can	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	aerosol_can	aerosol.n.02	aerosol_can|spray_can	a dispenser that holds a substance under pressure	c	8	11
lvis	2	air conditioner	air conditioner	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	air_conditioner	air_conditioner.n.01	air_conditioner	a machine that keeps air cool and dry	f	65	146
lvis	3	airplane	airplane	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	airplane	airplane.n.01	airplane|aeroplane	an aircraft that has a fixed wing and is powered by propellers or jets	f	349	619
lvis	4	alarm clock	alarm clock	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alarm_clock	alarm_clock.n.01	alarm_clock	a clock that wakes a sleeper at some preset time	f	25	60
lvis	5	alcohol	alcohol	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alcohol	alcohol.n.01	alcohol|alcoholic_beverage	a liquor or brew containing alcohol as the active agent	c	14	149
lvis	6	alligator	alligator	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alligator	alligator.n.02	alligator|gator	amphibious reptiles related to crocodiles but with shorter broader snouts	c	1	1
lvis	7	almond	almond	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	almond	almond.n.02	almond	oval-shaped edible seed of the almond tree	c	14	302
lvis	8	ambulance	ambulance	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ambulance	ambulance.n.01	ambulance	a vehicle that takes people to and from hospitals	c	2	6
lvis	9	amplifier	amplifier	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	amplifier	amplifier.n.01	amplifier	electronic equipment that increases strength of signals	c	2	3
lvis	10	anklet	anklet	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	anklet	anklet.n.03	anklet|ankle_bracelet	an ornament worn around the ankle	c	7	8
lvis	11	antenna	antenna	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	antenna	antenna.n.01	antenna|aerial|transmitting_aerial	an electrical device that sends or receives radio or television signals	f	93	202
lvis	12	apple	apple	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apple	apple.n.01	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	f	210	3116
lvis	13	applesauce	applesauce	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	applesauce	applesauce.n.01	applesauce	puree of stewed apples usually sweetened and spiced	r	1	3
lvis	14	apricot	apricot	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apricot	apricot.n.02	apricot	downy yellow to rosy-colored fruit resembling a small peach	r	0	0
lvis	15	apron	apron	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apron	apron.n.01	apron	a garment of cloth that is tied about the waist and worn to protect clothing	f	98	161
lvis	16	aquarium	aquarium	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	aquarium	aquarium.n.01	aquarium|fish_tank	a tank/pool/bowl filled with water for keeping live fish and underwater animals	c	10	10
lvis	17	arctic (type of shoe)	arctic (type of shoe)	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	arctic_(type_of_shoe)	arctic.n.02	arctic_(type_of_shoe)|galosh|golosh|rubber_(type_of_shoe)|gumshoe	a waterproof overshoe that protects shoes from water or snow	r	0	0
lvis	18	armband	armband	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armband	armband.n.02	armband	a band worn around the upper arm	c	8	15
lvis	19	armchair	armchair	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armchair	armchair.n.01	armchair	chair with a support on each side for arms	f	111	207
lvis	20	armoire	armoire	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armoire	armoire.n.01	armoire	a large wardrobe or cabinet	r	1	1
lvis	21	armor	armor	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armor	armor.n.01	armor|armour	protective covering made of metal and used in combat	r	2	5
lvis	22	artichoke	artichoke	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	artichoke	artichoke.n.02	artichoke	a thistlelike flower head with edible fleshy leaves and heart	c	3	32
lvis	23	trash can	trash can	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	trash_can	ashcan.n.01	trash_can|garbage_can|wastebin|dustbin|trash_barrel|trash_bin	a bin that holds rubbish until it is collected	f	389	548
lvis	24	ashtray	ashtray	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ashtray	ashtray.n.01	ashtray	a receptacle for the ash from smokers' cigars or cigarettes	c	30	51
lvis	25	asparagus	asparagus	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	asparagus	asparagus.n.02	asparagus	edible young shoots of the asparagus plant	c	15	150
lvis	26	atomizer	atomizer	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	atomizer	atomizer.n.01	atomizer|atomiser|spray|sprayer|nebulizer|nebuliser	a dispenser that turns a liquid (such as perfume) into a fine mist	c	9	11
lvis	27	avocado	avocado	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	avocado	avocado.n.01	avocado	a pear-shaped fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed	f	24	152
lvis	28	award	award	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	award	award.n.02	award|accolade	a tangible symbol signifying approval or distinction	c	13	51
lvis	29	awning	awning	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	awning	awning.n.01	awning	a canopy made of canvas to shelter people or things from rain or sun	f	273	888
lvis	30	ax	ax	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ax	ax.n.01	ax|axe	an edge tool with a heavy bladed head mounted across a handle	r	2	5
lvis	31	baboon	baboon	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baboon	baboon.n.01	baboon	large terrestrial monkeys having doglike muzzles	r	0	0
lvis	32	baby buggy	baby buggy	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baby_buggy	baby_buggy.n.01	baby_buggy|baby_carriage|perambulator|pram|stroller	a small vehicle with four wheels in which a baby or child is pushed around	f	67	78
