dataset	category_id	mid	label	label_key	source_version	source_url	hierarchy_url	source_class	openimages_parent_mids	openimages_parent_labels	openimages_child_mids	openimages_child_labels	is_mwe_candidate	mwe_candidate_status	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	synset_lemmas	canonical_surface	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
openimages	/m/011k07	/m/011k07	Tortoise	tortoise	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09dzg	Turtle			false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	tortoise	true	1	oewn-01672733-n	noun.animal	oewn-01672733-n	oewn-01672733-n:noun.animal:tortoise	tortoise	tortoise	selected_single_label_or_lookup_matched_wordnet_lemma	tortoise	tortoise:0	oewn-01665425-n	oewn-01665425-n:noun.animal	oewn-01665425-n:turtle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
openimages	/m/011q46kg	/m/011q46kg	Container	container	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/07k1x	Tool	/m/02jnhm|/m/02zn6n|/m/04dr76w|/m/07kng9|/m/08hvt4|/m/0bjyj5|/m/0d20w4|/m/0fm3zh	Tin can|Barrel|Bottle|Picnic basket|Jug|Waste container|Beaker|Flowerpot	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	container	true	1	oewn-03099154-n	noun.artifact	oewn-03099154-n	oewn-03099154-n:noun.artifact:container	container	container	selected_single_label_or_lookup_matched_wordnet_lemma	container	container:5	oewn-03580409-n	oewn-03580409-n:noun.artifact	oewn-03580409-n:instrumentality;instrumentation;means	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
openimages	/m/012074	/m/012074	Magpie	magpie	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/015p6	Bird			false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	magpie	true	3	oewn-01584861-n	noun.animal	oewn-01584861-n|oewn-10300973-n|oewn-09931028-n	oewn-01584861-n:noun.animal:magpie|oewn-10300973-n:noun.person:magpie;scavenger;pack rat|oewn-09931028-n:noun.person:chatterer;babbler;prater;chatterbox;magpie;spouter	magpie	magpie	selected_single_label_or_lookup_matched_wordnet_lemma	magpie	magpie:1	oewn-01581216-n	oewn-01581216-n:noun.animal	oewn-01581216-n:corvine bird	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-01584861-n:magpie%1:05:00:::magpie.n.01:1|oewn-10300973-n:magpie%1:18:00:::magpie.n.02:0|oewn-09931028-n:magpie%1:18:01:::chatterer.n.01:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
openimages	/m/0120dh	/m/0120dh	Sea turtle	sea turtle	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/09dzg	Turtle			true	selected	selected	false				oewn	2025-plus	oewn:2025+	exact	sea turtle	true	1	oewn-01666042-n	noun.animal	oewn-01666042-n	oewn-01666042-n:noun.animal:sea turtle;marine turtle	sea turtle|marine turtle	sea turtle	selected_single_label_or_lookup_matched_wordnet_lemma	sea turtle	sea turtle:0	oewn-01665425-n	oewn-01665425-n:noun.animal	oewn-01665425-n:turtle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
openimages	/m/01226z	/m/01226z	Football	football	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/018xm	Ball			false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	football	true	2	oewn-03383611-n	noun.artifact	oewn-00469555-n|oewn-03383611-n	oewn-00469555-n:noun.act:football;football game|oewn-03383611-n:noun.artifact:football	football	football	selected_single_label_or_lookup_matched_wordnet_lemma	football	football:2	oewn-02781674-n	oewn-02781674-n:noun.artifact	oewn-02781674-n:ball	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03383611-n:football%1:06:00:::football.n.02:2	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
openimages	/m/012n7d	/m/012n7d	Ambulance	ambulance	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01prls	Land vehicle			false	not_mwe	duplicate_existing_label_key	true	objects365	Ambulance	oewn-02703861-n				duplicate_existing_label_key																										duplicate_existing_label_key
openimages	/m/012w5l	/m/012w5l	Ladder	ladder	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/07k1x	Tool			false	not_mwe	duplicate_existing_label_key	true	objects365	Ladder	oewn-03637568-n				duplicate_existing_label_key																										duplicate_existing_label_key
openimages	/m/012xff	/m/012xff	Toothbrush	toothbrush	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02w3_ws|/m/07k1x	Personal care|Tool			false	not_mwe	duplicate_existing_label_key	true	COCO	toothbrush	oewn-04460427-n				duplicate_existing_label_key																										duplicate_existing_label_key
openimages	/m/012ysf	/m/012ysf	Syringe	syringe	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/01xgg_	Medical equipment			false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	syringe	true	1	oewn-04383963-n	noun.artifact	oewn-04383963-n	oewn-04383963-n:noun.artifact:syringe	syringe	syringe	selected_single_label_or_lookup_matched_wordnet_lemma	syringe	syringe:0	oewn-03745184-n	oewn-03745184-n:noun.artifact	oewn-03745184-n:medical instrument	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
openimages	/m/0130jx	/m/0130jx	Sink	sink	openimages_2018_04_boxable	https://storage.googleapis.com/openimages/2018_04/class-descriptions-boxable.csv	https://storage.googleapis.com/openimages/2018_04/bbox_labels_600_hierarchy.json	OpenImagesBoxable	/m/02pkr5	Plumbing fixture			false	not_mwe	duplicate_existing_label_key	true	COCO	sink	oewn-04230655-n				duplicate_existing_label_key																										duplicate_existing_label_key
