dataset	category_id	label	label_key	source_version	source_url	source_class	lvis_name	lvis_synset	lvis_synonyms	lvis_def	lvis_frequency	lvis_image_count	lvis_instance_count	is_mwe_candidate	mwe_candidate_status	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	lvis_synset_matched_oewn_synsets	synset_selection_tag	decision_basis
lvis	1	aerosol can	aerosol can	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	aerosol_can	aerosol.n.02	aerosol_can|spray_can	a dispenser that holds a substance under pressure	c	8	11	true	selected	selected	false				oewn	2025-plus	oewn:2025+	exact	aerosol can	true	1	oewn-02685776-n	noun.artifact	oewn-02685776-n	oewn-02685776-n:noun.artifact:aerosol;aerosol container;aerosol can;aerosol bomb;spray can	aerosol|aerosol container|aerosol can|aerosol bomb|spray can	oewn-03215404-n	oewn-03215404-n:noun.artifact	oewn-03215404-n:dispenser	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	2	air conditioner	air conditioner	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	air_conditioner	air_conditioner.n.01	air_conditioner	a machine that keeps air cool and dry	f	65	146	true	duplicate_existing_label_key	duplicate_existing_label_key	true	objects365	Air Conditioner	oewn-04047719-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	3	airplane	airplane	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	airplane	airplane.n.01	airplane|aeroplane	an aircraft that has a fixed wing and is powered by propellers or jets	f	349	619	false	not_mwe	duplicate_existing_label_key	true	COCO	airplane	oewn-02694015-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	4	alarm clock	alarm clock	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alarm_clock	alarm_clock.n.01	alarm_clock	a clock that wakes a sleeper at some preset time	f	25	60	true	duplicate_existing_label_key	duplicate_existing_label_key	true	openimages	Alarm clock	oewn-02697521-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	5	alcohol	alcohol	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alcohol	alcohol.n.01	alcohol|alcoholic_beverage	a liquor or brew containing alcohol as the active agent	c	14	149	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	alcohol	true	2	oewn-07900542-n	noun.food	oewn-07900542-n|oewn-14732881-n	oewn-07900542-n:noun.food:alcohol;alcoholic drink;alcoholic beverage;intoxicant;inebriant|oewn-14732881-n:noun.substance:alcohol	alcohol|alcoholic drink|alcoholic beverage|intoxicant|inebriant	oewn-07897775-n|oewn-03253661-n	oewn-07897775-n:noun.food|oewn-03253661-n:noun.artifact	oewn-07897775-n:beverage;drink;drinkable;potable|oewn-03253661-n:drug of abuse;street drug	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-07900542-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	6	alligator	alligator	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	alligator	alligator.n.02	alligator|gator	amphibious reptiles related to crocodiles but with shorter broader snouts	c	1	1	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	alligator	true	2	oewn-01701075-n	noun.animal	oewn-14784626-n|oewn-01701075-n	oewn-14784626-n:noun.substance:alligator|oewn-01701075-n:noun.animal:alligator;gator	alligator|gator	oewn-01699274-n	oewn-01699274-n:noun.animal	oewn-01699274-n:crocodilian reptile;crocodilian	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-01701075-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	7	almond	almond	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	almond	almond.n.02	almond	oval-shaped edible seed of the almond tree	c	14	302	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	almond	true	2	oewn-07766562-n	noun.food	oewn-12665935-n|oewn-07766562-n	oewn-12665935-n:noun.plant:almond;sweet almond;Prunus dulcis;Prunus amygdalus;Amygdalus communis|oewn-07766562-n:noun.food:almond	almond	oewn-07753057-n|oewn-13159085-n	oewn-07753057-n:noun.food|oewn-13159085-n:noun.plant	oewn-07753057-n:edible nut|oewn-13159085-n:drupe;stone fruit	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-07766562-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	8	ambulance	ambulance	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ambulance	ambulance.n.01	ambulance	a vehicle that takes people to and from hospitals	c	2	6	false	not_mwe	duplicate_existing_label_key	true	objects365	Ambulance	oewn-02703861-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	9	amplifier	amplifier	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	amplifier	amplifier.n.01	amplifier	electronic equipment that increases strength of signals	c	2	3	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	amplifier	true	1	oewn-02708803-n	noun.artifact	oewn-02708803-n	oewn-02708803-n:noun.artifact:amplifier	amplifier	oewn-03283159-n	oewn-03283159-n:noun.artifact	oewn-03283159-n:electronic equipment	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	10	anklet	anklet	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	anklet	anklet.n.03	anklet|ankle_bracelet	an ornament worn around the ankle	c	7	8	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	anklet	true	3	oewn-02715956-n	noun.artifact	oewn-02716223-n|oewn-02716077-n|oewn-02715956-n	oewn-02716223-n:noun.artifact:anklet|oewn-02716077-n:noun.artifact:anklet;anklets;bobbysock;bobbysocks|oewn-02715956-n:noun.artifact:anklet;ankle bracelet	anklet|ankle bracelet	oewn-02891211-n	oewn-02891211-n:noun.artifact	oewn-02891211-n:bracelet;bangle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02715956-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
