dataset	source_label	source_label_key	source_category_id	source_category_group	source_version	source_file	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	is_mwe_candidate	mwe_candidate_status	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	all_oewn_synsets	all_oewn_lexfiles	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
visual_genome	accordion	accordion	vg_label_001777	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Accordion	oewn-02675461-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	aerosol can	aerosol can	vg_label_002004	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	aerosol can	oewn-02685776-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	air conditioner	air conditioner	2	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Air Conditioner	oewn-04047719-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	air conditioner	air conditioner	vg_label_002084	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Air Conditioner	oewn-04047719-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	aircraft	aircraft	vg_label_002168	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Aircraft	oewn-02689427-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	airplane	airplane	3	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	airplane	oewn-02694015-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Airplane	airplane	114	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	airplane	oewn-02694015-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Airplane	airplane	/m/0cmf2	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	airplane	oewn-02694015-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	airplane	airplane	vg_label_002209	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	airplane	oewn-02694015-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	alarm clock	alarm clock	4	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Alarm clock	oewn-02697521-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
