dataset	category_id	label	supercategory	source_version	wordnet_query	is_multiword	has_wordnet_noun_synset	wordnet_synset_count	wordnet_synset	wordnet_lexname	all_wordnet_synsets	all_wordnet_lexnames	target_wordnet_lexnames	matched_wordnet_lexnames	canonical	parent	parent_synset	synset_lemmas	candidate_for_object_mwe	synset_selection_tag	decision_basis
COCO	1	person	person	instances_2017	person	false	true	3	person.n.01	noun.Tops	person.n.01|person.n.02|person.n.03	person.n.01:noun.Tops|person.n.02:noun.body|person.n.03:noun.communication	noun.Tops|noun.person	person.n.01:noun.Tops	person	causal_agent	causal_agent.n.01	person|individual|someone|somebody|mortal|soul	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	2	bicycle	vehicle	instances_2017	bicycle	false	true	1	bicycle.n.01	noun.artifact	bicycle.n.01	bicycle.n.01:noun.artifact	noun.artifact	bicycle.n.01:noun.artifact	bicycle	wheeled_vehicle	wheeled_vehicle.n.01	bicycle|bike|wheel|cycle	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	3	car	vehicle	instances_2017	car	false	true	5			car.n.01|car.n.02|car.n.03|car.n.04|cable_car.n.01	car.n.01:noun.artifact|car.n.02:noun.artifact|car.n.03:noun.artifact|car.n.04:noun.artifact|cable_car.n.01:noun.artifact	noun.artifact	car.n.01:noun.artifact|car.n.02:noun.artifact|car.n.03:noun.artifact|car.n.04:noun.artifact|cable_car.n.01:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	4	motorcycle	vehicle	instances_2017	motorcycle	false	true	1	motorcycle.n.01	noun.artifact	motorcycle.n.01	motorcycle.n.01:noun.artifact	noun.artifact	motorcycle.n.01:noun.artifact	motorcycle	motor_vehicle	motor_vehicle.n.01	motorcycle|bike	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	5	airplane	vehicle	instances_2017	airplane	false	true	1	airplane.n.01	noun.artifact	airplane.n.01	airplane.n.01:noun.artifact	noun.artifact	airplane.n.01:noun.artifact	airplane	heavier-than-air_craft	heavier-than-air_craft.n.01	airplane|aeroplane|plane	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	6	bus	vehicle	instances_2017	bus	false	true	4			bus.n.01|bus_topology.n.01|busbar.n.01|bus.n.04	bus.n.01:noun.artifact|bus_topology.n.01:noun.cognition|busbar.n.01:noun.artifact|bus.n.04:noun.artifact	noun.artifact	bus.n.01:noun.artifact|busbar.n.01:noun.artifact|bus.n.04:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	7	train	vehicle	instances_2017	train	false	true	6			train.n.01|string.n.04|caravan.n.01|train.n.04|train.n.05|gearing.n.01	train.n.01:noun.artifact|string.n.04:noun.group|caravan.n.01:noun.group|train.n.04:noun.event|train.n.05:noun.artifact|gearing.n.01:noun.artifact	noun.artifact	train.n.01:noun.artifact|train.n.05:noun.artifact|gearing.n.01:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	8	truck	vehicle	instances_2017	truck	false	true	2			truck.n.01|hand_truck.n.01	truck.n.01:noun.artifact|hand_truck.n.01:noun.artifact	noun.artifact	truck.n.01:noun.artifact|hand_truck.n.01:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	9	boat	vehicle	instances_2017	boat	false	true	2			boat.n.01|gravy_boat.n.01	boat.n.01:noun.artifact|gravy_boat.n.01:noun.artifact	noun.artifact	boat.n.01:noun.artifact|gravy_boat.n.01:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	10	traffic light	outdoor	instances_2017	traffic_light	true	true	1	traffic_light.n.01	noun.communication	traffic_light.n.01	traffic_light.n.01:noun.communication	noun.artifact		traffic_light	light	light.n.14	traffic_light|traffic_signal|stoplight	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	11	fire hydrant	outdoor	instances_2017	fire_hydrant	true	true	1	fireplug.n.01	noun.artifact	fireplug.n.01	fireplug.n.01:noun.artifact	noun.artifact	fireplug.n.01:noun.artifact	fireplug	hydrant	hydrant.n.02	fireplug|fire_hydrant|plug	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	13	stop sign	outdoor	instances_2017	stop_sign	true	false	0					noun.artifact						false	no_exact_wordnet_noun_synset	no_exact_wordnet_noun_synset
COCO	14	parking meter	outdoor	instances_2017	parking_meter	true	true	1	parking_meter.n.01	noun.artifact	parking_meter.n.01	parking_meter.n.01:noun.artifact	noun.artifact	parking_meter.n.01:noun.artifact	parking_meter	timer	timer.n.01	parking_meter	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
